id,title,text
1,Poem 1,"Project Gutenberg's Poems: Three Series, Complete, by Emily Dickinson"
2,This eBook is for the use of anyone anywhere at no cost and with,"almost no restrictions whatsoever.  You may copy it, give it away or
re–use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org"
3,Poem 3,"Title: Poems: Three Series, Complete"
4,Poem 4,Author: Emily Dickinson
5,Poem 5,"Release Date: May 3, 2004 [EBook #12242]"
6,Poem 6,Language: English
7,Poem 7,Character set encoding: ISO–8859–1
8,Poem 8,Produced by Jim Tinsley <jtinsley@pobox.com>
9,Poem 9,TRANSCRIBER'S NOTE
10,Poem 10,"As is well documented, Emily Dickinson's poems were edited in these early editions by her friends, better to fit the conventions of the times. In particular, her dashes, often small enough to appear as dots, became commas and semi–colons."
11,Poem 11,"In the second series of poems published, a facsimile of her handwritten poem which her editors titled ""Renunciation"" is given, and comparing this to the printed version gives a flavor of the changes made in these early editions."
12,Poem 12,––JT
13,Poem 13,Contents
14,Poem 14,First Series
15,Poem 15,Second Series
16,Poem 16,Third Series
17,Poem 17,Index of First Lines
18,POEMS,by EMILY DICKINSON
19,Poem 19,Edited by two of her friends
20,Poem 20,MABEL LOOMIS TODD and T.W. HIGGINSON
21,Poem 21,PREFACE.
22,Poem 22,"The verses of Emily Dickinson belong emphatically to what Emerson long since called ""the Poetry of the Portfolio,""–something produced absolutely without the thought of publication, and solely by way of expression of the writer's own mind. Such verse must inevitably forfeit whatever advantage lies in the discipline of public criticism and the enforced conformity to accepted ways. On the other hand, it may often gain something through the habit of freedom and the unconventional utterance of daring thoughts. In the case of the present author, there was absolutely no choice in the matter; she must write thus, or not at all. A recluse by temperament and habit, literally spending years without setting her foot beyond the doorstep, and many more years during which her walks were strictly limited to her father's grounds, she habitually concealed her mind, like her person, from all but a very few friends; and it was with great difficulty that she was persuaded to print, during her lifetime, three or four poems. Yet she wrote verses in great abundance; and though brought curiously indifferent to all conventional rules, had yet a rigorous literary standard of her own, and often altered a word many times to suit an ear which had its own tenacious fastidiousness."
23,Poem 23,"Miss Dickinson was born in Amherst, Mass., Dec. 10, 1830, and died there May 15, 1886. Her father, Hon. Edward Dickinson, was the leading lawyer of Amherst, and was treasurer of the well–known college there situated. It was his custom once a year to hold a large reception at his house, attended by all the families connected with the institution and by the leading people of the town. On these occasions his daughter Emily emerged from her wonted retirement and did her part as gracious hostess; nor would any one have known from her manner, I have been told, that this was not a daily occurrence. The annual occasion once past, she withdrew again into her seclusion, and except for a very few friends was as invisible to the world as if she had dwelt in a nunnery. For myself, although I had corresponded with her for many years, I saw her but twice face to face, and brought away the impression of something as unique and remote as Undine or Mignon or Thekla."
24,Poem 24,"This selection from her poems is published to meet the desire of her personal friends, and especially of her surviving sister. It is believed that the thoughtful reader will find in these pages a quality more suggestive of the poetry of William Blake than of anything to be elsewhere found,–flashes of wholly original and profound insight into nature and life; words and phrases exhibiting an extraordinary vividness of descriptive and imaginative power, yet often set in a seemingly whimsical or even rugged frame. They are here published as they were written, with very few and superficial changes; although it is fair to say that the titles have been assigned, almost invariably, by the editors. In many cases these verses will seem to the reader like poetry torn up by the roots, with rain and dew and earth still clinging to them, giving a freshness and a fragrance not otherwise to be conveyed. In other cases, as in the few poems of shipwreck or of mental conflict, we can only wonder at the gift of vivid imagination by which this recluse woman can delineate, by a few touches, the very crises of physical or mental struggle. And sometimes again we catch glimpses of a lyric strain, sustained perhaps but for a line or two at a time, and making the reader regret its sudden cessation. But the main quality of these poems is that of extraordinary grasp and insight, uttered with an uneven vigor sometimes exasperating, seemingly wayward, but really unsought and inevitable. After all, when a thought takes one's breath away, a lesson on grammar seems an impertinence. As Ruskin wrote in his earlier and better days, ""No weight nor mass nor beauty of execution can outweigh one grain or fragment of thought."""
25,Poem 25,––Thomas Wentworth Higginson
26,"This is my letter to the world,","That never wrote to me, –
The simple news that Nature told,
With tender majesty."
27,Her message is committed,"To hands I cannot see;
For love of her, sweet countrymen,
Judge tenderly of me!"
28,Poem 28,I. LIFE.
29,Poem 29,I.
30,Poem 30,SUCCESS.
31,"[Published in ""A Masque of Poets""","at the request of ""H.H.,"" the author's
fellow–townswoman and friend.]"
32,Success is counted sweetest,"By those who ne'er succeed.
To comprehend a nectar
Requires sorest need."
33,Not one of all the purple host,"Who took the flag to–day
Can tell the definition,
So clear, of victory,"
34,"As he, defeated, dying,","On whose forbidden ear
The distant strains of triumph
Break, agonized and clear!"
35,Poem 35,II.
36,"Our share of night to bear,","Our share of morning,
Our blank in bliss to fill,
Our blank in scorning."
37,"Here a star, and there a star,","Some lose their way.
Here a mist, and there a mist,
Afterwards – day!"
38,Poem 38,III.
39,Poem 39,ROUGE ET NOIR.
40,"Soul, wilt thou toss again?","By just such a hazard
Hundreds have lost, indeed,
But tens have won an all."
41,Angels' breathless ballot,"Lingers to record thee;
Imps in eager caucus
Raffle for my soul."
42,Poem 42,IV.
43,Poem 43,ROUGE GAGNE.
44,'T is so much joy! 'T is so much joy!,"If I should fail, what poverty!
And yet, as poor as I
Have ventured all upon a throw;
Have gained! Yes! Hesitated so
This side the victory!"
45,"Life is but life, and death but death!","Bliss is but bliss, and breath but breath!
And if, indeed, I fail,
At least to know the worst is sweet.
Defeat means nothing but defeat,
No drearier can prevail!"
46,"And if I gain, – oh, gun at sea,","Oh, bells that in the steeples be,
At first repeat it slow!
For heaven is a different thing
Conjectured, and waked sudden in,
And might o'erwhelm me so!"
47,Poem 47,V.
48,Glee! The great storm is over!,"Four have recovered the land;
Forty gone down together
Into the boiling sand."
49,"Ring, for the scant salvation!","Toll, for the bonnie souls, –
Neighbor and friend and bridegroom,
Spinning upon the shoals!"
50,How they will tell the shipwreck,"When winter shakes the door,
Till the children ask, ""But the forty?
Did they come back no more?"""
51,"Then a silence suffuses the story,","And a softness the teller's eye;
And the children no further question,
And only the waves reply."
52,Poem 52,VI.
53,"If I can stop one heart from breaking,","I shall not live in vain;
If I can ease one life the aching,
Or cool one pain,
Or help one fainting robin
Unto his nest again,
I shall not live in vain."
54,Poem 54,VII.
55,Poem 55,ALMOST!
56,Within my reach!,"I could have touched!
I might have chanced that way!
Soft sauntered through the village,
Sauntered as soft away!
So unsuspected violets
Within the fields lie low,
Too late for striving fingers
That passed, an hour ago."
57,Poem 57,VIII.
58,"A wounded deer leaps highest,","I've heard the hunter tell;
'T is but the ecstasy of death,
And then the brake is still."
59,"The smitten rock that gushes,","The trampled steel that springs;
A cheek is always redder
Just where the hectic stings!"
60,"Mirth is the mail of anguish,","In which it cautions arm,
Lest anybody spy the blood
And ""You're hurt"" exclaim!"
61,Poem 61,IX.
62,"The heart asks pleasure first,","And then, excuse from pain;
And then, those little anodynes
That deaden suffering;"
63,"And then, to go to sleep;","And then, if it should be
The will of its Inquisitor,
The liberty to die."
64,Poem 64,X.
65,Poem 65,IN A LIBRARY.
66,"A precious, mouldering pleasure 't is","To meet an antique book,
In just the dress his century wore;
A privilege, I think,"
67,"His venerable hand to take,","And warming in our own,
A passage back, or two, to make
To times when he was young."
68,"His quaint opinions to inspect,","His knowledge to unfold
On what concerns our mutual mind,
The literature of old;"
69,"What interested scholars most,","What competitions ran
When Plato was a certainty.
And Sophocles a man;"
70,"When Sappho was a living girl,","And Beatrice wore
The gown that Dante deified.
Facts, centuries before,"
71,"He traverses familiar,","As one should come to town
And tell you all your dreams were true;
He lived where dreams were sown."
72,"His presence is enchantment,","You beg him not to go;
Old volumes shake their vellum heads
And tantalize, just so."
73,Poem 73,XI.
74,Much madness is divinest sense,"To a discerning eye;
Much sense the starkest madness.
'T is the majority
In this, as all, prevails.
Assent, and you are sane;
Demur, – you're straightway dangerous,
And handled with a chain."
75,Poem 75,XII.
76,"I asked no other thing,","No other was denied.
I offered Being for it;
The mighty merchant smiled."
77,"Brazil? He twirled a button,","Without a glance my way:
""But, madam, is there nothing else
That we can show to–day?"""
78,Poem 78,XIII.
79,Poem 79,EXCLUSION.
80,"The soul selects her own society,","Then shuts the door;
On her divine majority
Obtrude no more."
81,"Unmoved, she notes the chariot's pausing","At her low gate;
Unmoved, an emperor is kneeling
Upon her mat."
82,I've known her from an ample nation,"Choose one;
Then close the valves of her attention
Like stone."
83,Poem 83,XIV.
84,Poem 84,THE SECRET.
85,"Some things that fly there be, –","Birds, hours, the bumble–bee:
Of these no elegy."
86,"Some things that stay there be, –","Grief, hills, eternity:
Nor this behooveth me."
87,"There are, that resting, rise.","Can I expound the skies?
How still the riddle lies!"
88,Poem 88,XV.
89,Poem 89,THE LONELY HOUSE.
90,I know some lonely houses off the road,"A robber 'd like the look of, –
Wooden barred,
And windows hanging low,
Inviting to
A portico,
Where two could creep:
One hand the tools,
The other peep
To make sure all's asleep.
Old–fashioned eyes,
Not easy to surprise!"
91,"How orderly the kitchen 'd look by night,","With just a clock, –
But they could gag the tick,
And mice won't bark;
And so the walls don't tell,
None will."
