source,target,co_count,PMI
forgetting,recollecting,4,10.95
page,renunciation,7,10.1199
nights,wild,8,9.6281
adrift,boat,4,9.3126
dickinson,emily,12,8.535
famous,sleep,4,8.2131
bees,murmuring,4,8.1199
dropped,flakes,4,8.1199
keep,sabbath,4,8.0325
election,mine,4,7.9907
heart,tattered,4,7.872
bells,steeples,4,7.8345
came,fearing,4,7.8345
famous,long,4,7.8345
keep,secret,4,7.7105
caper,rose,4,7.5964
joy,much,7,7.4354
hast,thou,4,7.3651
much,sense,4,7.2131
dickinson,poems,4,7.2131
never,unprepared,4,7.0755
bed,make,4,6.9907
heart,heavy,4,6.872
proud,since,4,6.872
death,insect,4,6.8626
lawn,long,4,6.8345
get,late,4,6.798
cheek,rose,5,6.7484
maid,thou,4,6.5577
get,home,4,6.5501
bee,clover,5,6.5471
dignity,one,5,6.535
delayed,till,5,6.5111
proud,thou,4,6.3651
'',beds,6,6.2955
many,times,5,6.2275
human,nature,6,6.2131
home,late,5,6.1939
thank,went,4,6.1774
broken,heart,4,6.0647
grant,may,5,6.0496
mine,right,5,5.9907
setting,sun,5,5.9621
'',sir,7,5.9329
late,passed,4,5.798
setting,still,4,5.789
kept,still,5,5.7484
brain,sky,4,5.7276
boat,little,9,5.7143
heart,poor,4,5.7021
flakes,like,6,5.6715
delays,one,4,5.6281
face,grace,6,5.5782
grass,wind,4,5.573
never,saw,7,5.561
forget,heart,4,5.5501
little,maid,8,5.5444
touch,whose,4,5.5126
bring,thee,5,5.5052
distant,sea,4,5.4761
long,sleep,5,5.4195
break,heart,4,5.4126
'',truth,4,5.3886
'',wake,4,5.3886
figure,little,6,5.3518
adrift,little,4,5.3518
always,soul,4,5.3386
haunted,one,4,5.2131
come,march,4,5.0755
something,summer,4,5.0701
mine,white,4,4.9907
abroad,went,4,4.955
except,heaven,7,4.9245
'',said,11,4.9221
houses,know,4,4.8911
friend,must,7,4.887
earth,heaven,5,4.8796
sweet,thou,5,4.829
could,mortal,4,4.8207
going,heaven,6,4.7801
breath,death,5,4.7694
ask,tell,4,4.7536
back,come,5,4.7345
till,wait,4,4.7298
bird,heard,4,4.7063
bird,every,5,4.6297
nest,one,4,4.6281
next,time,4,4.6281
chamber,one,4,4.6281
went,year,5,4.6249
died,way,4,4.573
brook,little,5,4.5038
never,word,4,4.4906
eternity,time,5,4.4475
angels,god,4,4.4457
two,went,4,4.4405
come,except,4,4.4126
dew,morning,4,4.4126
soul,stand,4,4.4057
clover,one,4,4.4057
boat,one,4,4.4057
'',others,4,4.3886
came,went,5,4.3839
time,year,6,4.3386
thee,thou,6,4.3353
grace,would,4,4.332
need,one,7,4.32
hear,never,5,4.31
came,summer,6,4.2765
life,live,4,4.1833
daily,little,4,4.1818
might,way,4,4.1745
ample,could,4,4.1687
every,god,5,4.1576
like,mighty,5,4.0865
lost,never,7,4.0755
heart,mine,5,4.0647
care,little,5,3.9732
sweet,thee,5,3.9692
one,robin,5,3.95
last,time,5,3.95
like,stars,5,3.949
silver,upon,4,3.9351
hand,sun,4,3.8626
done,night,4,3.8415
'',spirit,4,3.8037
'',woods,4,3.8037
going,know,4,3.7212
could,see,13,3.6847
dropped,like,6,3.6715
go,new,4,3.6585
love,thee,5,3.6572
day,slow,4,3.6432
day,said,4,3.6432
death,life,10,3.6402
brain,one,4,3.6281
day,every,6,3.6181
heard,never,4,3.6161
little,skies,4,3.5444
could,keep,4,3.5406
morning,sun,5,3.5215
feet,go,4,3.521
came,day,5,3.5126
look,sea,4,3.5126
sea,yet,5,3.5052
day,summer,10,3.4851
tree,upon,4,3.4326
know,world,4,3.4317
'',whose,6,3.3886
'',two,4,3.3886
could,find,4,3.3802
face,see,5,3.3717
eyes,see,4,3.3468
like,wind,5,3.321
night,put,4,3.3207
abroad,like,4,3.2792
'',unto,5,3.2776
heart,little,9,3.2738
heart,thee,4,3.2573
one,red,4,3.2131
enough,one,4,3.2131
know,must,6,3.1907
never,shall,4,3.1687
like,rose,6,3.1479
night,without,4,3.1171
could,might,5,3.092
little,man,5,3.0887
like,red,4,3.0865
could,eyes,6,3.0838
day,lost,4,3.0838
face,thee,4,3.079
look,would,5,3.069
dew,upon,4,3.0606
one,rest,4,3.0431
know,might,4,3.0331
little,two,4,3.0298
love,till,4,3.0193
bird,little,6,2.9825
little,made,4,2.9594
new,upon,5,2.9351
could,must,6,2.9276
know,look,5,2.9276
look,time,4,2.9276
may,thee,4,2.9203
little,thou,5,2.9188
light,like,6,2.9166
little,thee,9,2.907
see,time,5,2.8911
one,two,4,2.8911
life,mine,4,2.8614
day,many,4,2.8467
tell,would,6,2.8361
flower,little,4,2.8282
like,man,5,2.8235
may,summer,4,2.8071
must,never,4,2.7901
heart,would,4,2.7846
light,upon,4,2.7651
away,sea,4,2.7536
never,sea,4,2.7536
heaven,know,6,2.7212
bird,like,6,2.7173
still,till,4,2.6656
know,never,7,2.6541
little,long,4,2.6513
day,thought,4,2.6432
away,come,4,2.6161
know,would,7,2.611
like,look,7,2.6085
