id,title,char_count,line_count,stanza_count,token_count,type_count,type_token_ratio,dash_count,dash_density,end_words,endword_repeat_ratio,nonstop_token_count
1,SUCCESS.,311,15,3,52,45,0.8654,1,0.0192,sweetest;succeed;nectar;need;host;day;definition;victory;dying;ear;triumph;clear,0.0,30
2,"Our share of night to bear,",204,9,2,40,24,0.6,0,0.0,bear;morning;fill;scorning;star;way;mist;day,0.0,18
3,ROUGE ET NOIR.,196,10,2,36,34,0.9444,0,0.0,again;hazard;indeed;all;ballot;thee;caucus;soul,0.0,21
4,ROUGE GAGNE.,569,21,3,111,70,0.6306,0,0.0,joy;poverty;i;throw;so;victory;death;breath;fail;sweet;defeat;prevail;sea;be;slow;thing;in;so,0.0556,56
5,Glee! The great storm is over!,498,19,4,87,64,0.7356,0,0.0,over;land;together;sand;salvation;souls;bridegroom;shoals;shipwreck;door;forty;more;story;eye;question;reply,0.0,46
6,"If I can stop one heart from breaking,",191,7,1,41,27,0.6585,0,0.0,breaking;vain;aching;pain;robin;again;vain,0.1429,23
7,ALMOST!,236,10,1,40,33,0.825,0,0.0,reach;touched;way;village;away;violets;low;fingers;ago,0.0,25
8,"A wounded deer leaps highest,",348,14,3,66,52,0.7879,0,0.0,highest;tell;death;still;gushes;springs;redder;stings;anguish;arm;blood;exclaim,0.0,37
9,"The heart asks pleasure first,",214,9,2,39,29,0.7436,0,0.0,first;pain;anodynes;suffering;sleep;be;inquisitor;die,0.0,15
10,IN A LIBRARY.,793,35,7,140,101,0.7214,0,0.0,is;book;wore;think;take;own;make;young;inspect;unfold;mind;old;most;ran;certainty;man;girl;wore;deified;before;familiar;town;true;sown;enchantment;go;heads;so,0.0357,71
11,Much madness is divinest sense,223,8,1,38,30,0.7895,0,0.0,sense;eye;madness;majority;prevails;sane;dangerous;chain,0.0,21
12,"I asked no other thing,",212,9,2,40,35,0.875,1,0.025,thing;denied;it;smiled;button;way;else;day,0.0,19
13,EXCLUSION.,300,15,3,55,44,0.8,0,0.0,society;door;majority;more;pausing;gate;kneeling;mat;nation;one;attention;stone,0.0,31
14,THE SECRET.,252,12,3,41,32,0.7805,1,0.0244,be;bee;elegy;be;eternity;me;rise;skies;lies,0.1111,18
15,THE LONELY HOUSE.,949,45,5,175,123,0.7029,1,0.0057,road;of;barred;low;to;portico;creep;tools;peep;asleep;eyes;surprise;night;clock;tick;bark;tell;will;stir;aware;winked;star;stair;there;where;spoon;stone;brooch;grandmamma;there;too;slow;far;sycamore;chanticleer;there;away;where;astir;ajar,0.075,103
16,"To fight aloud is very brave,",329,14,3,60,51,0.85,0,0.0,brave;know;bosom;woe;see;observe;country;love;procession;go;feet;snow,0.0,34
17,DAWN.,223,10,2,43,36,0.8372,0,0.0,done;near;spaces;hair;ready;care;midnight;hour,0.0,23
18,THE BOOK OF MARTYRS.,360,18,2,65,51,0.7846,0,0.0,strove;stouter;renounced;afraid;bore;witness;helped;cared;faith;fagot;hymn;drown;men;women;record;renown,0.0,37
19,THE MYSTERY OF PAIN.,218,10,2,42,33,0.7857,0,0.0,blank;recollect;were;not;itself;contain;perceive;pain,0.0,16
20,"I taste a liquor never brewed,",475,19,4,84,68,0.8095,0,0.0,brewed;pearl;rhine;alcohol;i;dew;days;blue;bee;door;drams;more;hats;run;tippler;sun,0.0,48
21,A BOOK.,237,9,1,46,35,0.7609,0,0.0,words;robust;poor;dust;days;wings;liberty;brings,0.0,22
22,"I had no time to hate, because",225,9,2,46,36,0.7826,0,0.0,because;me;i;enmity;since;be;thought;me,0.125,21
23,UNRETURNING.,246,10,2,47,29,0.617,0,0.0,boat;bay;sea;away;wave;coast;sails;lost,0.0,25
24,"Whether my bark went down at sea,",211,9,2,39,32,0.8205,1,0.0256,sea;gales;enchanted;sails;mooring;day;eye;bay,0.0,20
25,"Belshazzar had a letter, â",195,8,1,33,30,0.9091,0,0.0,letter;one;correspondent;begun;copy;all;glasses;wall,0.0,19
26,The brain within its groove,231,10,2,43,36,0.8372,0,0.0,groove;true;swerve;you;back;hills;themselves;mills;love,0.0,23
27,MINE.,258,10,2,47,31,0.6596,0,0.0,election;seal;prison;conceal;veto;repeal;charter;steal,0.0,27
28,BEQUEST.,217,10,2,38,29,0.7632,0,0.0,legacies;love;content;of;pain;sea;time;me,0.0,19
29,Alter? When the hills do.,175,9,2,34,27,0.7941,0,0.0,do;sun;glory;one;daffodil;dew;friend;you,0.0,14
30,SUSPENSE.,205,10,2,41,32,0.7805,0,0.0,to;room;await;doom;contains;endure;foot;door,0.0,18
31,SURRENDER.,450,19,2,86,61,0.7093,0,0.0,companion;content;love;stint;forever;can;thee;own;spirit;before;knew;more;maiden;degree;might;heaven;thee,0.0588,39
32,"If you were coming in the fall,",604,24,5,122,88,0.7213,0,0.0,fall;by;spurn;fly;year;balls;drawers;befalls;delayed;hand;dropped;land;out;be;rind;eternity;length;wing;bee;sting,0.0,58
33,WITH A FLOWER.,236,10,2,40,29,0.725,0,0.0,flower;breast;too;rest;flower;vase;me;loneliness,0.125,19
34,PROOF.,242,15,3,47,32,0.6809,0,0.0,love;proof;loved;enough;alway;thee;life;immortality;sweet;i;show;calvary,0.0,26
35,"Have you got a brook in your little heart,",525,19,4,97,68,0.701,0,0.0,heart;blow;drink;so;flows;there;life;there;march;overflow;hills;go;be;lie;life;dry,0.125,52
36,TRANSPLANTED.,337,13,1,57,46,0.807,0,0.0,flower;hem;latitudes;came;summer;sun;flowers;tongue;flower;in;only;therefrom,0.0833,30
37,THE OUTLET.,166,12,4,30,24,0.8,0,0.0,thee;me;reply;graciously;brooks;nooks;sea;me,0.125,23
38,IN VAIN.,1078,63,12,209,132,0.6316,0,0.0,you;life;there;shelf;to;up;porcelain;cup;housewife;broken;pleases;crack;you;wait;down;not;by;freeze;frost;privilege;you;face;jesus';grace;foreign;eye;he;by;how;know;to;not;sight;eyes;excellence;paradise;be;name;loudest;fame;saved;be;not;me;apart;here;ajar;are;prayer;sustenance;despair,0.1373,96
39,RENUNCIATION.,967,37,8,169,113,0.6686,0,0.0,renunciation;full;me;saints;be;abroad;blew;passed;new;speech;word;sacrament;lord;church;time;show;lamb;will;hands;back;lands;failed;sound;crucifix;bond;rise;grave;justified;love,0.0,92
40,LOVE'S BAPTISM.,626,22,3,112,78,0.6964,0,0.0,theirs;face;church;now;dolls;spools;too;choice;grace;name;dropped;up;diadem;first;breast;queen;erect;reject;throne,0.0,61
41,RESURRECTION.,428,20,4,75,57,0.76,1,0.0133,time;come;god;time;met;gaze;privilege;eyes;them;new;beheld;now;this;host;seraphim;guest,0.0625,40
42,APOCALYPSE.,288,15,3,60,43,0.7167,0,0.0,that;state;now;so;looks;eclipse;so;now;then;pain;compare;there,0.1667,30
43,THE WIFE.,335,15,3,63,48,0.7619,0,0.0,dropped;life;work;wife;day;awe;gold;away;sea;weed;known;abide,0.0,31
44,APOTHEOSIS.,206,12,3,34,33,0.9706,0,0.0,eden;thee;jasmines;bee;flower;hums;enters;balms;nature,0.0,25
45,"New feet within my garden go,",228,9,2,40,29,0.725,0,0.0,go;sod;elm;solitude;green;below;returns;snow,0.0,29
46,MAY-FLOWER.,221,15,3,37,32,0.8649,0,0.0,punctual;low;april;may;moss;knoll;robin;soul;beauty;thee;forswears;antiquity,0.0,26
47,WHY?,300,18,3,63,47,0.746,0,0.0,bee;me;why;die;tell;hill;will;sneer;here;all;day;degree;how;so;tell,0.0667,29
48,Perhaps you'd like to buy a flower?,276,12,3,53,44,0.8302,0,0.0,flower;sell;borrow;daffodil;bonnet;door;rows;draw;then;more,0.0,26
49,The pedigree of honey,90,4,1,17,16,0.9412,0,0.0,honey;bee;him;aristocracy,0.0,7
50,A SERVICE OF SONG.,387,15,3,72,50,0.6944,0,0.0,church;home;chorister;dome;surplice;wings;church;sings;clergyman;long;last;along,0.0833,37
51,"The bee is not afraid of me,",233,9,2,42,34,0.8095,0,0.0,me;butterfly;woods;cordially;come;play;mists;day,0.0,26
52,SUMMER'S ARMIES.,735,28,4,124,88,0.7097,1,0.0081,fair;cashmere;see;train;plain;away;bestir;whir;tune;sun;one;platoon;day;yesterday;twig;on;sun;bog;still;hill;stand;these;seas;land,0.0417,77
53,THE GRASS.,577,25,5,111,74,0.6667,0,0.0,do;green;brood;entertain;tunes;along;lap;everything;pearls;fine;common;noticing;pass;divine;sleep;pine;barns;away;do;hay,0.05,52
54,"A little road not made of man,",211,9,2,43,37,0.8605,0,0.0,man;eye;bee;butterfly;itself;say;vehicle;way,0.0,20
55,SUMMER SHOWER.,483,20,4,89,63,0.7079,0,0.0,tree;roof;eaves;laugh;brook;sea;pearls;be;roads;sung;away;hung;lutes;glee;flag;away,0.0625,50
56,PSALM OF THE DAY.,1037,44,11,178,122,0.6854,1,0.0056,day;away;me;noon;tune;ecstasy;night;bright;see;face;grace;me;rest;breast;bed;flag;crag;red;dews;prize;brows;name;delirium;them;stirred;bird;wood;ear;severe;before;came;worshipping;psalm,0.0303,110
57,THE SEA OF SUNSET.,284,10,2,49,39,0.7959,0,0.0,washes;sea;rushes;mystery;traffic;bales;horizons;sails,0.0,27
58,PURPLE CLOVER.,872,40,8,148,100,0.6757,1,0.0068,prefer;desire;democrat;aspire;pass;away;dearth;capacity;moon;gown;pasture;worn;june;green;countenance;seen;grass;herself;sun;life;full;blow;spice;jealousy;noon;sun;proclaimed;tune;host;last;aware;frost,0.0312,78
59,THE BEE.,434,20,4,78,60,0.7692,0,0.0,plush;bee;goes;masonry;assault;consumes;away;blooms;gauze;gold;onyx;inlaid;chant;tune;experience;noon,0.0,44
60,Presentiment is that long shadow on the lawn,139,4,1,25,19,0.76,0,0.0,lawn;down;grass;pass,0.0,12
61,"As children bid the guest good-night,",247,9,2,42,35,0.8333,1,0.0238,night;turn;lips;on;wake;morn;cribs;again,0.0,21
62,Angels in the early morning,255,9,2,43,30,0.6977,0,0.0,morning;among;flying;belong;hottest;among;flying;along,0.25,28
63,"So bashful when I spied her,",330,14,3,59,42,0.7119,0,0.0,her;ashamed;leaflets;find;her;turned;blushing;beyond;dingle;dell;me;tell,0.0833,30
64,TWO WORLDS.,338,15,3,55,44,0.8,3,0.0545,abroad;same;noons;flame;woods;day;jargoning;calvary;judgment;bee;rose;misery,0.0,28
65,THE MOUNTAIN.,223,10,2,37,29,0.7838,0,0.0,plain;chair;omnifold;everywhere;knees;sire;he;ancestor,0.0,22
66,A DAY.,472,22,5,90,71,0.7889,0,0.0,rose;time;amethyst;ran;bonnets;begun;myself;sun;not;stile;girls;while;side;gray;bars;away,0.0,46
67,"The butterfly's assumption-gown,",179,7,2,26,24,0.9231,1,0.0385,gown;hung;on;descend;friend;town,0.0,14
68,THE WIND.,606,26,5,112,84,0.75,0,0.0,abroad;me;boughs;melody;hand;sky;tune;me;bands;door;overhead;orchestra;boughs;be;chant;tree;sound;sky;rank;passed;company,0.1429,60
69,DEATH AND LIFE.,207,9,1,36,33,0.9167,0,0.0,surprise;flower;play;power;on;unmoved;day;god,0.0,20
70,'T was later when the summer went,236,9,2,43,29,0.6744,0,0.0,went;came;clock;home;went;came;pendulum;time,0.25,26
71,INDIAN SUMMER.,551,24,6,100,74,0.74,0,0.0,back;two;look;on;june;mistake;bee;plausibility;belief;bear;air;leaf;days;haze;join;partake;break;wine,0.0,62
72,AUTUMN.,233,10,2,45,35,0.7778,1,0.0222,were;brown;plumper;town;scarf;gown;fashioned;on,0.0,22
73,BECLOUDED.,234,10,2,45,40,0.8889,0,0.0,mean;snow;rut;go;day;him;caught;diadem,0.0,25
74,THE HEMLOCK.,460,20,4,82,64,0.7805,0,0.0,stand;snow;austerity;awe;wilderness;cloy;bald;necessity;cold;winds;him;wines;nought;don;play;run,0.0,46
75,"There's a certain slant of light,",455,21,5,80,62,0.775,0,0.0,light;afternoons;weight;tunes;us;scar;difference;are;anything;despair;affliction;air;listens;breath;distance;death;eternity,0.0,47
76,"One dignity delays for all,",432,19,4,73,61,0.8356,0,0.0,all;afternoon;purple;crown;footmen;throng;village;along;attendants;pause;parting;raise;ermine;i;escutcheon;die,0.0,43
77,TOO LATE.,588,21,3,104,75,0.7212,0,0.0,know;snow;lay;breath;death;yesterday;be;glee;hill;pace;face;still;be;victory;round;thing;king;crowned,0.0556,54
78,ASTRA CASTRA.,219,10,2,32,28,0.875,0,0.0,judgment;afternoon;leaning;on;cancelled;begun;disperse;alone,0.0,24
79,"Safe in their alabaster chambers,",485,14,3,83,62,0.747,0,0.0,chambers;noon;resurrection;stone;sunshine;ear;cadence;here;them;row;surrender;snow,0.0,49
80,"On this long storm the rainbow rose,",356,14,3,61,48,0.7869,0,0.0,rose;sun;elephants;down;nests;done;eyes;shone;death;bestir;syllables;her,0.0,36
81,FROM THE CHRYSALIS.,326,15,3,64,47,0.7344,0,0.0,tease;air;wings;wear;be;fly;concedes;sky;hint;sign;last;divine,0.0,36
82,SETTING SAIL.,230,10,2,39,31,0.7949,0,0.0,going;sea;headlands;eternity;mountains;understand;intoxication;land,0.0,21
83,"Look back on time with kindly eyes,",121,4,1,23,22,0.9565,0,0.0,eyes;best;sun;west,0.0,15
84,"A train went through a burial gate,",265,9,2,48,37,0.7708,1,0.0208,gate;sang;throat;rang;notes;again;him;men,0.0,25
85,"I died for beauty, but was scarce",366,14,3,72,50,0.6944,0,0.0,scarce;tomb;lain;room;failed;replied;one;said;night;rooms;lips;names,0.0,33
86,"""TROUBLED ABOUT MANY THINGS.""",466,15,3,80,62,0.775,0,0.0,staggered;tell;rivet;steel;often;hair;fingers;wear;window;pane;ceiling;lain,0.0,49
87,REAL.,216,10,2,41,37,0.9024,0,0.0,agony;true;convulsion;throe;death;feign;forehead;strung,0.0,22
88,THE FUNERAL.,216,10,2,39,34,0.8718,0,0.0,stir;once;illustrious;consequence;death;renown;accept;spurn,0.0,20
89,"I went to thank her,",255,11,2,51,36,0.7059,0,0.0,her;slept;stone;foot;thrown;her;slept;sea;alive;slow,0.2,26
90,I've seen a dying eye,224,8,1,43,34,0.7907,0,0.0,eye;room;seemed;become;fog;down;be;seen,0.0,21
91,REFUGE.,263,9,1,46,40,0.8696,0,0.0,laid;push;fell;mice;stuff;tombs;reach;comes,0.0,29
92,"I never saw a moor,",204,9,2,45,33,0.7333,0,0.0,moor;sea;looks;be;god;heaven;spot;given,0.0,22
93,PLAYMATES.,229,10,2,35,31,0.8857,1,0.0286,angels;play;mates;straightway;promptly;sun;marbles;crown,0.0,23
94,To know just how he suffered would be dear;,825,31,6,157,96,0.6115,0,0.0,dear;near;gaze;paradise;content;different;die;way;god;say;nature;day;any;accented;me;until;well;best;first;with;drowsiest;tranquil;know;grow;be;eternity,0.0,70
95,"The last night that she lived,",657,29,6,117,82,0.7009,0,0.0,lived;night;us;different;things;before;minds;were;exist;quite;arose;infinite;passed;time;speak;came;forgot;reed;scarce;dead;hair;erect;was;regulate,0.0,61
96,THE FIRST LESSON.,371,14,2,79,56,0.7089,0,0.0,face;place;be;life;shelf;me;so;know;wise;be;c;skies,0.0833,34
97,The bustle in a house,193,9,2,34,31,0.9118,0,0.0,house;death;industries;earth;heart;away;again;eternity,0.0,18
98,"I reason, earth is short,",255,14,3,49,35,0.7143,0,0.0,short;absolute;hurt;that;die;vitality;decay;that;heaven;even;given;that,0.1667,21
99,Afraid? Of whom am I afraid?,322,14,3,63,50,0.7937,0,0.0,afraid;he;lodge;me;thing;me;existences;decree;east;morn;forehead;crown,0.0833,30
100,DYING.,474,20,4,90,64,0.7111,0,0.0,still;afternoon;perceived;noon;still;grass;stopped;face;still;awake;myself;make;before;now;but;know,0.125,49
101,Two swimmers wrestled on the spar,246,9,2,44,38,0.8636,0,0.0,spar;sun;land;one;face;borne;raised;thrown,0.0,28
102,THE CHARIOT.,600,25,5,108,80,0.7407,0,0.0,death;me;ourselves;immortality;haste;away;too;civility;played;done;grain;sun;seemed;ground;visible;mound;each;day;heads;eternity,0.0,54
103,She went as quiet as the dew,216,9,2,44,33,0.75,0,0.0,dew;flower;return;hour;star;eve;leverrier;believe,0.0,22
104,RESURGAM.,190,7,1,36,29,0.8056,0,0.0,identified;side;see;star;are;day,0.0,21
105,"Except to heaven, she is nought;",346,14,3,57,45,0.7895,1,0.0175,nought;lone;bee;blown;provincial;butterflies;dew;lies;grass;lawn;face;home,0.0,33
106,Death is a dialogue between,234,9,2,42,33,0.7857,0,0.0,between;dust;sir;trust;ground;away;evidence;clay,0.0,24
107,"It was too late for man,",214,9,2,40,34,0.85,0,0.0,man;god;help;side;heaven;had;face;god,0.125,19
108,ALONG THE POTOMAC.,420,20,4,78,67,0.859,1,0.0128,died;boy;potomac;victory;slowly;turned;angle;round;paradise;decide;conduct;testified;apparition;boy;brain;sky,0.0625,39
109,"The daisy follows soft the sun,",393,13,2,68,53,0.7794,0,0.0,sun;done;feet;near;here;sweet;sun;decline;thee;west;amethyst;possibility,0.0833,42
110,EMANCIPATION.,354,20,4,66,56,0.8485,0,0.0,me;liberty;bone;one;saw;scymitar;be;flee;nest;divest;sky;thou;be;enemy;consciousness;liberty,0.125,39
111,LOST.,219,10,2,46,41,0.8913,0,0.0,day;found;stars;bound;it;eye;ducats;me,0.0,24
112,If I shouldn't be alive,181,9,2,38,32,0.8421,0,0.0,alive;come;cravat;crumb;you;asleep;trying;lip,0.0,19
113,"Sleep is supposed to be,",366,19,5,70,44,0.6286,0,0.0,be;sanity;eye;grand;hand;stand;be;degree;day;occurred;be;eternity;gay;array;day,0.2,34
114,"I shall know why, when time is over,",289,9,2,57,40,0.7018,0,0.0,over;why;anguish;sky;promised;woe;anguish;now,0.125,23
115,"I never lost as much but twice,",6636,69,28,1098,508,0.4627,11,0.01,twice;sod;beggar;god;descending;store;father;more;poems;dickinson;series;friends;higginson;preface;beauties;wrote;light;soul;yours;jackson;verse;picture;winter;accuracy;friend;rhymes;hearing;rare;pretence;presence;todd;massachusetts;august;captives;eyes;plucking;paradise;whisper;moor;errand;prayer;life,0.0,560
116,I'm nobody! Who are you?,224,9,2,47,37,0.7872,0,0.0,you;too;tell;know;somebody;frog;day;bog,0.0,23
117,I bring an unaccustomed wine,643,27,7,125,86,0.688,0,0.0,wine;mine;drink;essay;away;look;glass;alas;cold;warm;lain;mould;be;me;speak;cup;drop;slake;me;me;awake,0.0952,67
118,"The nearest dream recedes, unrealized.",448,15,2,60,49,0.8167,1,0.0167,unrealized;chase;bee;boy;race;clover;deploys;clouds;pinnace;boy;sky;honey;not;variety,0.0714,38
119,"We play at paste,",179,8,1,29,26,0.8966,1,0.0345,paste;pearl;paste;fool;similar;hands;tactics;sands,0.125,18
120,I found the phrase to every thought,229,9,2,46,39,0.8478,0,0.0,thought;one;hand;sun;dark;begin;cochineal;mazarin,0.0,21
121,HOPE.,354,15,3,70,49,0.7,0,0.0,feathers;soul;words;all;heard;storm;bird;warm;land;sea;extremity;me,0.0,35
122,THE WHITE HEAT.,496,20,4,80,63,0.7875,0,0.0,heat;door;tint;ore;conditions;plays;light;blaze;blacksmith;din;forge;within;ores;blaze;light;forge,0.1875,52
123,TRIUMPHANT.,400,20,4,67,52,0.7761,0,0.0,unprepared;find;flagons;tamarind;league;explore;territories;shore;overcome;say;taken;day;bearest;thou;promoted;brow,0.0,45
124,THE TEST.,354,18,2,66,55,0.8333,0,0.0,grief;it;that;joy;feet;drunken;smile;liquor;all;pain;discipline;hang;giants;men;himmaleh;him,0.0,37
125,ESCAPE.,210,10,2,38,32,0.8421,0,0.0,escape;blood;expectation;attitude;broad;down;bars;again,0.0,22
126,COMPENSATION.,200,10,2,33,30,0.9091,0,0.0,instant;pay;ratio;ecstasy;hour;years;farthings;tears,0.0,20
127,THE MARTYRS.,340,15,3,54,42,0.7778,0,0.0,suffering;trod;temptation;god;company;round;meteor;bound;troth;fair;degree;air,0.0,36
128,A PRAYER.,854,35,7,159,106,0.6667,0,0.0,needs;heaven;lie;even;both;prayer;stipulate;pair;prayed;me;yours;me;face;withdrew;me;too;might;threw;up;too;extant;true;ask;you;skies;air;first;infer,0.1071,80
129,The thought beneath so slight a film,120,4,1,21,19,0.9048,0,0.0,film;seen;surge;apennine,0.0,11
130,The soul unto itself,205,9,2,37,30,0.8108,0,0.0,itself;friend;spy;send;own;fear;itself;awe,0.125,16
131,Surgeons must be very careful,116,4,1,18,17,0.9444,0,0.0,careful;knife;incisions;life,0.0,11
132,THE RAILWAY TRAIN.,460,20,4,82,57,0.6951,0,0.0,miles;up;tanks;step;mountains;peer;roads;pare;between;while;stanza;hill;boanerges;star;omnipotent;door,0.0,40
133,THE SHOW.,108,7,1,22,19,0.8636,0,0.0,show;go;me;be;play;see,0.0,9
134,Delight becomes pictorial,214,9,2,34,29,0.8529,0,0.0,pictorial;pain;impossible;gain;distance;lies;little;skies,0.0,19
135,A thought went up my mind to-day,357,14,3,74,50,0.6757,1,0.0135,day;before;back;year;came;me;was;say;know;before;all;more,0.0833,26
136,Is Heaven a physician?,195,9,2,34,27,0.7941,0,0.0,physician;heal;posthumous;unavailable;exchequer;owe;negotiation;to,0.0,14
137,THE RETURN.,438,15,2,78,53,0.6795,1,0.0128,late;compensate;ecstasy;me;dark;knock;be;agony;burn;turn;say;me;way,0.0769,37
138,"A poor torn heart, a tattered heart,",466,17,2,81,59,0.7284,0,0.0,heart;rest;day;west;descend;burn;vision;unknown;way;espied;toil;god;barefoot;gales;hand;sails,0.0,45
139,TOO MUCH.,780,28,4,130,88,0.6769,0,0.0,see;degree;round;shamed;blamed;behind;see;me;prayer;yesterday;sabachthani;here;see;me;joy;justify;calvary;crucify;say;gethsemane;beyond;define;wine;understand,0.125,73
140,SHIPWRECK.,321,16,3,56,42,0.75,1,0.0179,tossed;knew;blast;spun;morn;slipped;stepped;tripped;sight;night;you;blue;you,0.0769,31
141,"Victory comes late,",384,16,1,71,61,0.8592,1,0.0141,late;lips;frost;it;tasted;drop;economical;us;toe;mouths;robins;breakfast;them;sparrows;love;starve,0.0,43
142,ENOUGH.,467,18,2,93,69,0.7419,0,0.0,bird;me;starve;luxury;feat;mine;chance;coveting;around;ear;board;fair;feel;earl;crumb;all,0.0,45
143,Experiment to me,177,9,2,34,28,0.8235,0,0.0,me;meet;kernel;nut;tree;plausibly;requisite;me,0.125,17
144,MY COUNTRY'S WARDROBE.,255,10,2,43,39,0.907,0,0.0,gown;sweet;lexington;fit;stars;discreet;attitude;bayonet,0.0,26
145,Faith is a fine invention,93,4,1,16,16,1.0,0,0.0,invention;see;prudent;emergency,0.0,8
146,"Except the heaven had come so near,",243,9,2,50,37,0.74,0,0.0,near;door;so;before;depart;see;loss;me,0.0,23
147,Portraits are to daily faces,93,4,1,18,16,0.8889,0,0.0,faces;west;sunshine;vest,0.0,10
148,THE DUEL.,223,10,2,49,36,0.7347,0,0.0,hand;world;had;bold;myself;fell;large;small,0.0,17
149,A shady friend for torrid days,326,14,3,58,44,0.7586,0,0.0,days;find;temperature;mind;east;away;firmer;organdy;weaver;thread;paradise;made,0.0,32
150,THE GOAL.,474,25,5,83,65,0.7831,0,0.0,centre;still;nature;goal;be;fair;temerity;dare;heaven;reach;raiment;touch;distance;high;diligence;sky;venture;then;endeavoring;again,0.0,49
151,SIGHT.,614,25,5,116,74,0.6379,2,0.0172,out;see;eyes;way;day;sky;heart;me;mine;stars;take;eyes;birds;road;liked;dead;soul;pane;eyes;sun,0.1,55
152,Talk with prudence to a beggar,244,9,2,42,34,0.8095,0,0.0,beggar;mines;hungry;wines;captive;feet;dungeons;sweet,0.0,23
153,THE PREACHER.,328,10,2,58,46,0.7931,0,0.0,narrow;define;liar;sign;presence;shun;jesus;man,0.0,34
154,Good night! which put the candle out?,387,13,2,66,52,0.7879,0,0.0,out;doubt;knew;wick;diligent;you;spark;dark;see;lamp;camp;reveille,0.0,34
155,"When I hoped I feared,",165,8,1,31,25,0.8065,0,0.0,feared;dared;alone;remain;harm;charm;doom;him,0.0,17
156,DEED.,218,10,2,45,33,0.7333,0,0.0,thought;will;spot;well;act;still;god;audible,0.0,17
157,TIME'S LESSON.,227,10,2,45,38,0.8444,0,0.0,old;revenge;departs;avenge;flits;meat;dead;fat,0.0,25
158,REMORSE.,329,15,3,56,46,0.8214,0,0.0,awake;astir;acts;door;soul;match;facilitate;despatch;disease;heal;institution;hell,0.0,30
159,THE SHELTER.,209,10,2,35,30,0.8571,0,0.0,outside;way;hide;alway;inviting;betray;shelter;honesty,0.0,21
160,Undue significance a starving man attaches,222,9,2,37,32,0.8649,0,0.0,attaches;food;hopeless;good;us;fly;distance;savory,0.0,22
161,"Heart not so heavy as mine,",519,24,5,94,71,0.7553,1,0.0106,mine;home;window;tune;ballad;street;ear;sweet;bobolink;way;carolled;away;brook;way;minuets;why;again;sore;window;more,0.1,50
162,"I many times thought peace had come,",234,9,2,44,36,0.8182,0,0.0,come;away;land;sea;prove;i;shores;lie,0.0,24
163,Unto my books so good to turn,446,19,4,77,61,0.7922,0,0.0,turn;days;abstinence;praise;guests;be;time;library;without;men;night;within;shelf;bland;prospective;obtained,0.0,46
164,"This merit hath the worst, â",224,9,2,40,33,0.825,0,0.0,worst;again;last;stone;breathe;round;longer;hound,0.0,22
165,HUNGER.,591,25,5,115,76,0.6609,1,0.0087,years;dine;near;wine;seen;lone;wealth;own;bread;crumb;shared;room;new;odd;bush;road;found;way;windows;away,0.0,56
166,"I gained it so,",368,16,2,68,48,0.7059,0,0.0,so;slow;grow;me;high;sky;strategy;it;all;it;fall;go;grace;face;ago,0.0667,32
