id,title,term,left,keyword,right
20,"I taste a liquor never brewed,",bee,inns molten blue landlords turn drunken,bee,foxglove door butterflies renounce drams shall
32,"If you were coming in the fall,",bee,time uncertain wing goads like goblin,bee,state sting
44,APOTHEOSIS.,bee,thee bashful sip thy jasmines fainting,bee,reaching late flower round chamber hums
47,WHY?,bee,murmur,bee,witchcraft yieldeth ask easier die tell
49,The pedigree of honey,bee,pedigree honey concern,bee,clover time aristocracy
51,"The bee is not afraid of me,",bee,,bee,afraid know butterfly pretty people woods
54,"A little road not made of man,",bee,made man enabled eye accessible thill,bee,cart butterfly town beyond say sigh
58,PURPLE CLOVER.,bee,jealousy public noon providence sun progress,bee,proclaimed sovereign swerveless tune bravest host
59,THE BEE.,bee,trains cars tracks plush hear level,bee,jar across flowers goes velvet masonry
59,THE BEE.,bee,inlaid labor chant idleness tune oh,bee,experience clovers noon
64,TWO WORLDS.,bee,bates jargoning passing calvary judgment nothing,bee,separation rose seems misery
71,INDIAN SUMMER.,bee,blue gold mistake oh fraud cheat,bee,almost thy plausibility induces belief till
79,"Safe in their alabaster chambers,",bee,light laughs breeze castle sunshine babbles,bee,stolid ear pipe sweet birds ignorant
105,"Except to heaven, she is nought;",bee,heaven nought except angels lone except,bee,flower superfluous blown except winds provincial
118,"The nearest dream recedes, unrealized.",bee,recedes unrealized heaven chase like june,bee,invites race stoops easy clover dips
118,"The nearest dream recedes, unrealized.",bee,mocking sky homesick steadfast honey ah,bee,flies brews rare variety
181,POSSESSION.,bee,harebell loose girdle lover,bee,would bee harebell hallow much formerly
181,POSSESSION.,bee,harebell loose girdle lover bee would,bee,harebell hallow much formerly paradise persuaded
195,THE BUTTERFLY'S DAY.,bee,go purposeless circumference tropic show notwithstanding,bee,worked flower zealous blew audience idleness
230,PROBLEMS.,bee,many trips tortoise makes many cups,bee,partakes debauchee dews also laid rainbow
235,SUMMER'S OBSEQUIES.,bee,morning angels short procession bobolink aged,bee,addressed us knelt prayer trust willing
235,SUMMER'S OBSEQUIES.,bee,seraph let us go thee name,bee,butterfly breeze amen
247,"I have not told my garden yet,",bee,yet lest conquer quite strength break,bee,name street shops would stare shy
355,WHO?,bee,mortal friend must dies barbs like,bee,ah curious friend thou puzzlest
359,LONGING.,bee,could bring yet interdict blossom abrogate,bee,lest noon everlasting night drop gabriel
371,A ROSE.,bee,upon common summer morn flash dew,bee,two breeze caper trees rose
375,"To make a prairie it takes a clover and one bee, â",bee,make prairie takes clover one,bee,one clover bee revery revery alone
375,"To make a prairie it takes a clover and one bee, â",bee,takes clover one bee one clover,bee,revery revery alone bees
376,THE WIND.,bee,like light fashionless delight like,bee,dateless melody like woods private like
380,"Could I but ride indefinite,",bee,till jump peninsulas get away said,bee,upon raft air row nowhere day
403,UNWARNED.,bee,thou sleeping yet lily waiting wed,bee,dost thou forget little maid night
448,ETERNITY.,bee,enables us bat dun wrinkled wings,bee,afraid body grows outside bone marrow
448,ETERNITY.,bee,meeker mountain sat upon plain murmur,bee,murmuring bees ceased mushroom elf plants
448,ETERNITY.,bee,gain make prairie takes clover one,bee,quick ear leaves conferred venerate simple
