id,title,term,left,keyword,right
33,WITH A FLOWER.,flower,hide within,flower,wearing breast unsuspecting wear angels know
33,WITH A FLOWER.,flower,wear angels know rest hide within,flower,fading vase unsuspecting feel almost loneliness
36,TRANSPLANTED.,flower,little arctic,flower,upon polar hem went wandering latitudes
36,TRANSPLANTED.,flower,flowers birds foreign tongue say little,flower,eden wandered nothing inference therefrom
44,APOTHEOSIS.,flower,thy jasmines fainting bee reaching late,flower,round chamber hums counts nectars enters
48,Perhaps you'd like to buy a flower?,flower,perhaps like buy,flower,could never sell would like borrow
58,PURPLE CLOVER.,flower,,flower,bees prefer butterflies desire gain purple
69,DEATH AND LIFE.,flower,apparently surprise happy,flower,frost beheads play accidental power blond
103,She went as quiet as the dew,flower,went quiet dew familiar,flower,like dew return accustomed hour dropt
105,"Except to heaven, she is nought;",flower,nought except angels lone except bee,flower,superfluous blown except winds provincial except
109,"The daisy follows soft the sun,",flower,done sits shyly feet waking finds,flower,near wherefore marauder art thou ''
109,"The daisy follows soft the sun,",flower,thou '' sir love sweet '',flower,thou sun forgive us days decline
189,MOTHER NATURE.,flower,incites timid prayer minutest cricket unworthy,flower,children sleep turns long away suffice
195,THE BUTTERFLY'S DAY.,flower,circumference tropic show notwithstanding bee worked,flower,zealous blew audience idleness disdained sky
197,APRIL.,flower,pane spider trade added strut chanticleer,flower,expected everywhere axe shrill singing woods
208,OLD-FASHIONED.,flower,star unkind science go interfere pull,flower,woods monster glass computes stamens breath
343,WITH A FLOWER.,flower,summer day idle lie auburn take,flower,pray
344,SONG.,flower,blossoms o'er pray gather anemone thy,flower,forevermore
426,"The dying need but little, dear, â",flower,dying need little dear glass water,flower,unobtrusive face punctuate wall fan perhaps
448,ETERNITY.,flower,guest far pity complaint little arctic,flower,imperceptibly grief ashes denote fire three
448,ETERNITY.,flower,died held jewel fingers hide within,flower,know place summer strives know lonely
448,ETERNITY.,flower,pain element blank perhaps like buy,flower,pigmy seraphs gone astray pink small
448,ETERNITY.,flower,summer full came wind like bugle,flower,bees prefer shame nobleness word frigate
