id,title,term,left,keyword,right
4,ROUGE GAGNE.,heaven,oh bells steeples first repeat slow,heaven,different thing conjectured waked sudden might
31,SURRENDER.,heaven,maiden whose farthest degree might distant,heaven,dwell timidly thee
38,IN VAIN.,heaven,except shone closer judge us served,heaven,know sought could saturated sight eyes
41,RESURRECTION.,heaven,last second time fleshless lovers met,heaven,gaze heaven heavens privilege one another
41,RESURRECTION.,heaven,time fleshless lovers met heaven gaze,heaven,heavens privilege one another eyes lifetime
42,APOCALYPSE.,heaven,behind soft eclipse think earth seems,heaven,comfort kind pain compare wife stop
50,A SERVICE OF SONG.,heaven,clergyman sermon never long instead getting,heaven,last going along
56,PSALM OF THE DAY.,heaven,ear making homely severe contented known,heaven,unexpected came lives thought worshipping presumptuous
92,"I never saw a moor,",heaven,wave must never spoke god visited,heaven,yet certain spot chart given
98,"I reason, earth is short,",heaven,die best vitality excel decay reason,heaven,somehow even new equation given
105,"Except to heaven, she is nought;",heaven,except,heaven,nought except angels lone except bee
107,"It was too late for man,",heaven,impotent help prayer remained side excellent,heaven,earth hospitable face old neighbor god
118,"The nearest dream recedes, unrealized.",heaven,nearest dream recedes unrealized,heaven,chase like june bee invites race
128,A PRAYER.,heaven,meant modest needs content,heaven,within income could lie life keep
128,A PRAYER.,heaven,upon wise prayed great spirit give,heaven,large large enough smile suffused jehovah
136,Is Heaven a physician?,heaven,,heaven,physician say heal medicine posthumous unavailable
136,Is Heaven a physician?,heaven,physician say heal medicine posthumous unavailable,heaven,exchequer speak owe negotiation party
139,TOO MUCH.,heaven,recited fluent earth would much see,heaven,enough joy without fear justify palm
146,"Except the heaven had come so near,",heaven,except,heaven,come near seemed choose door distance
150,THE GOAL.,heaven,credibility temerity dare adored caution brittle,heaven,reach hopeless rainbow raiment touch yet
178,The way I read a letter 's this:,heaven,peruse infinite one know sigh lack,heaven,heaven creeds bestow
178,The way I read a letter 's this:,heaven,infinite one know sigh lack heaven,heaven,creeds bestow
208,OLD-FASHIONED.,heaven,aforetime hat sits erect cabinets forgot,heaven,zenith proposed go time brief masquerade
208,OLD-FASHIONED.,heaven,worst whatever prank betides perhaps kingdom,heaven,changed hope children wo come laugh
209,A TEMPEST.,heaven,clouds gaunt black spectre cloak hid,heaven,earth view creatures chuckled roofs whistled
239,THE BLUE JAY.,heaven,away snow intimate often seen play,heaven,looked upon us severity felt apology
241,Going to heaven!,heaven,going,heaven,know pray ask indeed astonished think
241,Going to heaven!,heaven,ask indeed astonished think answering going,heaven,dim sounds yet done sure flocks
253,"I went to heaven, â",heaven,went,heaven,small town lit ruby lathed stiller
254,"Their height in heaven comforts not,",heaven,height,heaven,comforts glory nought best imperfect finite
256,TRIUMPH.,heaven,slowly handed back one eye upon,heaven,renounced one upon rack severer triumph
279,I think just how my shape will rise,heaven,till hair eyes timid head sight,heaven,think lips weigh shapeless quivering prayer
288,Heaven is what I cannot reach!,heaven,,heaven,reach apple tree provided hopeless hang
296,PARTING.,heaven,hopeless conceive twice befell parting know,heaven,need hell
300,Who has not found the heaven below,heaven,found,heaven,fail god residence next mine furniture
302,I HAD A GUINEA GOLDEN.,heaven,missing troubadour kept 'house hame star,heaven,one pleiad name heeding wandered though
329,To help our bleaker parts,heaven,hours given fit earth drill silently,heaven,
342,SATISFIED.,heaven,new value soul supremest earthly sum,heaven,heaven obscured ruddier hue life latitude
342,SATISFIED.,heaven,value soul supremest earthly sum heaven,heaven,obscured ruddier hue life latitude leant
359,LONGING.,heaven,upon journey easy see forbidden utterly,heaven,unto envy nests sparrows dot distant
410,Immortal is an ample word,heaven,word need leaves us time necessity,heaven,firmest proof fundamental know except marauding
410,Immortal is an ample word,heaven,proof fundamental know except marauding hand,heaven,
428,"The soul should always stand ajar,",heaven,soul always stand ajar,heaven,inquire obliged wait shy troubling depart
432,JOY IN DEATH.,heaven,soul gone god answered lonesome tone,heaven,sad bells joyful ring tell soul
432,JOY IN DEATH.,heaven,bells joyful ring tell soul gone,heaven,would seem proper way good news
443,CHARLOTTE BRONTÃ'S GRAVE.,heaven,eden upon puzzled ear oh afternoon,heaven,entered
448,ETERNITY.,heaven,elysium far essential oils wrung except,heaven,come near except heaven nought experiment
448,ETERNITY.,heaven,wrung except heaven come near except,heaven,nought experiment exultation going far love
448,ETERNITY.,heaven,gentian god permits industrious angels going,heaven,going happy letter tell good night
448,ETERNITY.,heaven,know heart heavy mine heart forget,heaven,reach final summer high earth heard
448,ETERNITY.,heaven,likes stand took power hand went,heaven,went thank wish knew woman name
448,ETERNITY.,heaven,ample word lands never saw say,heaven,physician bliss abyss ca summer got
448,ETERNITY.,heaven,letter wind begun rock grass height,heaven,comforts came day summer full came
448,ETERNITY.,heaven,bark went sea fearing came found,heaven,never lost unprepared never wanted maddest
