id,title,term,left,keyword,right
34,PROOF.,immortality,offer thee love life life hath,immortality,dost thou doubt sweet nothing show
102,THE CHARIOT.,immortality,stop death kindly stopped carriage held,immortality,slowly drove knew haste put away
115,"I never lost as much but twice,",immortality,leaf hurrying altered air '' epoch,immortality,close never morbid melancholy lived presence
215,THE SPIDER.,immortality,white ruff dame shroud gnome inform,immortality,strategy physiognomy
239,THE BLUE JAY.,immortality,things character tonic future dispute unfair,immortality,leaves neighbor iv time eternity
296,PARTING.,immortality,closed twice close yet remains see,immortality,unveil third event huge hopeless conceive
307,RETICENCE.,immortality,let every babbler secret people keep,immortality,
358,NUMEN LUMEN.,immortality,hear voice stand alive witness certainty,immortality,taught time lower way conviction every
397,That such have died enables us,immortality,enables us tranquiller die lived certificate,immortality,
401,"How dare the robins sing,",immortality,insulting sun whose mortal light beguiled,immortality,bequeaths night deference extinct every hum
441,THIRST.,immortality,adequate supply great water west termed,immortality,
