id,title,term,left,keyword,right
4,ROUGE GAGNE.,sea,defeat drearier prevail gain oh gun,sea,oh bells steeples first repeat slow
23,UNRETURNING.,sea,little boat toddled bay gallant gallant,sea,beckoned away greedy greedy wave licked
24,"Whether my bark went down at sea,",sea,whether bark went,sea,whether met gales whether isles enchanted
28,BEQUEST.,sea,content offer left boundaries pain capacious,sea,eternity time consciousness
37,THE OUTLET.,sea,river runs thee blue,sea,wilt welcome river waits reply oh
37,THE OUTLET.,sea,wilt welcome river waits reply oh,sea,look graciously fetch thee brooks spotted
37,THE OUTLET.,sea,fetch thee brooks spotted nooks say,sea,take
43,THE WIFE.,sea,gold using wore away lay unmentioned,sea,develops pearl weed known fathoms abide
55,SUMMER SHOWER.,sea,laugh went help brook went help,sea,conjectured pearls necklaces could dust replaced
57,THE SEA OF SUNSET.,sea,land sunset washes banks yellow,sea,rose whither rushes western mystery night
82,SETTING SAIL.,sea,exultation going inland soul,sea,past houses past headlands deep eternity
89,"I went to thank her,",sea,thrown went thank slept short cross,sea,look upon like alive turning back
92,"I never saw a moor,",sea,never saw moor never saw,sea,yet know heather looks wave must
121,HOPE.,sea,many warm heard chillest land strangest,sea,yet never extremity asked crumb
162,"I many times thought peace had come,",sea,wrecked men deem sight land centre,sea,struggle slacker prove hopelessly many fictitious
179,Wild nights! Wild nights!,sea,compass done chart rowing eden ah,sea,might moor thee
185,"The moon is distant from the sea,",sea,moon distant,sea,yet amber hands leads docile boy
185,"The moon is distant from the sea,",sea,signor thine amber hand mine distant,sea,obedient least command thine eyes impose
195,THE BUTTERFLY'S DAY.,sea,men made hay afternoon butterfly extinguished,sea,
206,TWO VOYAGERS.,sea,beam together bore away upon shining,sea,though never yet port coming mentioned
206,TWO VOYAGERS.,sea,mentioned spoken distant bird met ether,sea,frigate merchantman report
207,BY THE SEA.,sea,started early took dog visited,sea,mermaids basement came look frigates upper
207,BY THE SEA.,sea,man seemed know bowing mighty look,sea,withdrew
242,"At least to pray is left, is left.",sea,everywhere thou stirrest earthquake south maelstrom,sea,say jesus christ nazareth hast thou
282,REAL RICHES.,sea,little could care pearls ample,sea,brooches emperor rubies pelteth gold prince
326,THE BRAIN.,sea,one include ease beside brain deeper,sea,hold blue blue one absorb sponges
336,EXPERIENCE.,sea,slow cautiously stars head felt feet,sea,knew next would final inch gave
346,"To lose thee, sweeter than to gain",sea,destitute dew caspian realms sand realm,sea,without sterile perquisite caspian could
356,"He touched me, so I live to know",sea,upon breast boundless place silenced awful,sea,puts minor streams rest different breathed
374,A WELL.,sea,related somehow may sedge stands next,sea,floorless yet fear evidence gives nature
377,A dew sufficed itself,sea,physiognomy whether day abducted emptied sun,sea,passing eternally unknown
383,THE BALLOON.,sea,diamond liquid feet go softly upon,sea,blond spurn air mean creatures renowned
383,THE BALLOON.,sea,tree tears open imperial veins tumbles,sea,crowd retire oath dust streets goes
386,SUNSET.,sea,sloop amber slips away upon ether,sea,wrecks peace purple tar son ecstasy
418,TRYING TO FORGET.,sea,rose followed tried drop crowd lose,sea,cups artificial drowse sleep shape away
425,FAREWELL.,sea,hill never mind bridges never mind,sea,held fast everlasting race choice thee
448,ETERNITY.,sea,wondrous,sea,sailing silently ho pilot ho knowest
448,ETERNITY.,sea,lot long storm rainbow rose wondrous,sea,one blessing rest one day series
448,ETERNITY.,sea,leaves like women interchange moon distant,sea,moon chin gold morns meeker mountain
448,ETERNITY.,sea,purple gently toss whether bark went,sea,fearing came found heaven never lost
