id,title,top_terms
1,SUCCESS.,"clear:0.470, ne'er:0.247, triumph:0.235, counted:0.235, strains:0.235, success:0.235, sweetest:0.226, forbidden:0.226, flag:0.219, host:0.207, victory:0.202, dying:0.198, distant:0.198, need:0.194, break:0.190"
2,"Our share of night to bear,","share:0.532, blank:0.532, star:0.423, lose:0.240, bear:0.219, bliss:0.215, morning:0.171, way:0.171, night:0.155, day:0.142"
3,ROUGE ET NOIR.,"soul:0.458, record:0.381, breathless:0.363, wilt:0.349, toss:0.349, thou:0.275, angels:0.271, lost:0.252, thee:0.239"
4,ROUGE GAGNE.,"defeat:0.321, joy:0.301, fail:0.301, bliss:0.270, oh:0.253, breath:0.253, death:0.204, life:0.185, throw:0.175, conjectured:0.175, waked:0.175, means:0.167, poverty:0.167, gained:0.160, repeat:0.160"
5,Glee! The great storm is over!,"children:0.353, story:0.241, question:0.229, toll:0.229, scant:0.220, ring:0.220, reply:0.213, winter:0.207, neighbor:0.207, sand:0.207, souls:0.207, silence:0.202, glee:0.202, storm:0.197, great:0.189"
6,"If I can stop one heart from breaking,","live:0.437, shall:0.353, fainting:0.279, aching:0.279, ease:0.265, help:0.239, nest:0.239, breaking:0.239, stop:0.233, robin:0.228, cool:0.223, pain:0.204, heart:0.188, unto:0.180, life:0.147"
7,ALMOST!,"soft:0.490, violets:0.307, ago:0.271, touched:0.251, fields:0.245, village:0.240, hour:0.236, reach:0.236, late:0.232, lie:0.232, low:0.218, passed:0.212, fingers:0.203, way:0.187, away:0.153"
8,"A wounded deer leaps highest,","spy:0.245, blood:0.245, highest:0.245, brake:0.245, steel:0.245, mail:0.245, wounded:0.245, deer:0.234, leaps:0.234, arm:0.234, rock:0.225, 're:0.211, hurt:0.211, anybody:0.205, cheek:0.201"
9,"The heart asks pleasure first,","asks:0.420, pleasure:0.384, suffering:0.384, liberty:0.372, pain:0.308, sleep:0.303, die:0.284, heart:0.284, little:0.205"
10,IN A LIBRARY.,"wore:0.313, old:0.237, facts:0.177, mutual:0.177, shake:0.177, volumes:0.177, antique:0.177, mouldering:0.177, passage:0.177, living:0.177, unfold:0.177, certainty:0.168, ran:0.168, scholars:0.168, dress:0.162"
11,Much madness is divinest sense,"madness:0.596, sense:0.528, straightway:0.298, divinest:0.298, majority:0.284, 're:0.256, eye:0.204"
12,"I asked no other thing,","'':0.394, glance:0.346, smiled:0.346, merchant:0.346, offered:0.346, denied:0.317, asked:0.297, mighty:0.271, thing:0.240, way:0.212"
13,EXCLUSION.,"unmoved:0.424, nation:0.222, attention:0.222, shuts:0.222, chariot:0.222, mat:0.222, valves:0.222, selects:0.222, majority:0.212, notes:0.212, emperor:0.212, gate:0.197, society:0.197, choose:0.191, divine:0.182"
14,THE SECRET.,"things:0.536, riddle:0.305, grief:0.284, hours:0.275, rise:0.262, stay:0.262, lies:0.256, skies:0.235, fly:0.235, hills:0.228, eternity:0.228, birds:0.214"
15,THE LONELY HOUSE.,"ajar:0.276, '':0.266, look:0.184, sneer:0.156, walls:0.156, mice:0.156, aware:0.156, lonely:0.156, barred:0.156, inviting:0.156, sleeping:0.156, astir:0.156, wooden:0.156, mat:0.156, orderly:0.149"
16,"To fight aloud is very brave,","rank:0.449, observe:0.254, procession:0.254, aloud:0.254, bosom:0.241, fight:0.241, charge:0.232, brave:0.224, woe:0.224, trust:0.218, country:0.212, fall:0.212, dying:0.203, snow:0.183, angels:0.180"
17,DAWN.,"frightened:0.293, smooth:0.293, faded:0.279, ready:0.279, dimples:0.279, grows:0.268, midnight:0.259, hair:0.252, sunrise:0.234, hour:0.226, wonder:0.226, care:0.222, touch:0.222, near:0.215, old:0.196"
18,THE BOOK OF MARTYRS.,"till:0.324, read:0.318, helped:0.203, renounced:0.203, faithful:0.203, record:0.203, hymn:0.203, river:0.193, kingdom:0.193, renown:0.193, clear:0.193, strains:0.193, witness:0.186, strove:0.186, celestial:0.186"
19,THE MYSTERY OF PAIN.,"pain:0.413, contain:0.282, realms:0.282, enlightened:0.282, future:0.282, periods:0.269, element:0.269, blank:0.269, began:0.258, recollect:0.250, infinite:0.242, past:0.231, new:0.181, day:0.143"
