topic,top_words,weights
0,"'', one, tell, emily, dickinson, emily dickinson, poems, verses, first, know, time, letter, mine, upon, friends","37.06, 18.00, 12.28, 12.08, 12.08, 12.08, 10.08, 9.08, 9.04, 8.88, 8.69, 8.40, 7.55, 7.33, 6.80"
1,"little, life, like, see, one, would, sun, morning, eyes, thing, go, could, till, away, day","18.17, 17.58, 12.00, 11.80, 11.65, 10.16, 9.66, 9.44, 9.38, 9.01, 8.33, 8.26, 8.08, 8.01, 7.93"
2,"could, one, see, thee, day, new, would, sing, heaven, face, sea, till, knew, '', upon","7.87, 7.67, 6.87, 5.69, 5.51, 5.23, 5.14, 4.81, 4.58, 4.58, 4.41, 4.28, 4.27, 4.25, 4.24"
3,"like, tell, many, bee, done, rose, must, away, die, come, wild nights, nights, march, upon, morning","13.26, 9.19, 7.70, 6.42, 6.33, 5.97, 5.90, 5.61, 5.14, 5.08, 5.08, 5.08, 4.65, 4.62, 4.56"
4,"little, day, like, know, till, us, could, one, away, thee, life, love, '', say, grass","22.73, 22.61, 20.75, 18.69, 17.37, 13.06, 11.51, 10.80, 10.61, 10.21, 10.11, 8.78, 8.60, 8.58, 8.44"
5,"little, one, away, like, heaven, never, could, upon, long, may, would, soul, go, thee, ''","22.65, 17.64, 15.19, 13.75, 12.89, 12.75, 11.55, 10.38, 10.29, 10.17, 9.65, 9.19, 8.83, 8.76, 8.29"
6,"like, summer, know, one, still, god, death, never, came, bird, could, thought, tell, yet, would","18.04, 13.33, 12.71, 10.06, 9.47, 8.97, 8.53, 8.12, 7.85, 7.49, 7.46, 7.45, 7.37, 7.22, 7.18"
7,"never, upon, go, except, could, heaven, must, would, wonder, time, life, much, bird, hope, one","13.41, 9.85, 9.78, 9.26, 9.22, 8.56, 7.97, 7.55, 7.51, 7.44, 7.26, 6.63, 6.54, 6.47, 6.41"
8,"upon, like, one, could, '', look, still, know, feet, till, heart, door, face, never, house","20.21, 19.33, 13.89, 10.32, 9.00, 8.95, 8.33, 8.23, 7.57, 7.57, 7.50, 7.35, 7.16, 7.03, 6.84"
9,"like, one, little, summer, upon, sun, could, bee, nature, would, thou, till, days, go, light","16.13, 15.86, 12.60, 12.27, 11.23, 10.40, 10.24, 9.51, 9.49, 7.39, 7.30, 7.08, 6.50, 6.46, 6.20"
10,"far, died, never, time, went, sea, till, die, fear, god, reason, small, thee, soul, unto","6.77, 6.11, 5.80, 5.61, 5.23, 4.50, 4.33, 4.16, 4.08, 4.00, 3.84, 3.52, 3.52, 3.47, 3.44"
11,"time, went, upon, yet, night, like, sea, day, life, little, eternity, love, going, away, heaven","15.21, 13.97, 12.18, 10.32, 9.60, 9.23, 9.16, 9.15, 8.09, 7.76, 7.61, 7.52, 7.31, 7.30, 7.30"
