term,count,doc_freq,rel_freq
like,131,81,0.00802794460105405
one,120,78,0.0073538423826449316
little,109,64,0.006679740164235813
upon,97,79,0.00594435592597132
could,90,65,0.005515381786983699
'',85,39,0.005208971687706827
day,75,57,0.004596151489153082
know,75,56,0.004596151489153082
life,70,50,0.00428974138987621
would,68,49,0.004167177350165461
away,66,60,0.004044613310454713
never,66,46,0.004044613310454713
till,61,49,0.0037382032111778402
time,60,45,0.0036769211913224658
tell,55,41,0.003370511092045594
night,54,43,0.0033092290721902194
heaven,54,38,0.0033092290721902194
summer,53,38,0.003247947052334845
death,51,36,0.003125383012624096
sun,51,42,0.003125383012624096
see,50,41,0.0030641009927687216
thee,49,27,0.003002818972913347
yet,49,43,0.003002818972913347
may,48,39,0.0029415369530579726
go,47,40,0.002880254933202598
still,46,36,0.002818972913347224
come,44,34,0.002696408873636475
god,43,34,0.0026351268537811007
face,43,35,0.0026351268537811007
went,41,26,0.002512562814070352
soul,40,32,0.0024512807942149773
sea,40,31,0.0024512807942149773
look,39,34,0.002389998774359603
must,39,34,0.002389998774359603
us,39,31,0.002389998774359603
morning,38,30,0.0023287167545042284
heart,38,20,0.0023287167545042284
without,38,34,0.0023287167545042284
thought,38,25,0.0023287167545042284
first,36,26,0.0022061527147934795
love,36,26,0.0022061527147934795
nature,36,32,0.0022061527147934795
eyes,35,30,0.002144870694938105
mine,35,23,0.002144870694938105
way,34,30,0.0020835886750827305
bee,34,27,0.0020835886750827305
feet,33,30,0.0020223066552273565
many,33,21,0.0020223066552273565
put,33,28,0.0020223066552273565
say,32,26,0.001961024635371982
within,31,24,0.0018997426155166074
bird,31,25,0.0018997426155166074
whose,30,23,0.0018384605956612329
door,30,27,0.0018384605956612329
shall,30,26,0.0018384605956612329
new,30,25,0.0018384605956612329
sweet,29,23,0.0017771785758058586
might,29,26,0.0017771785758058586
far,29,22,0.0017771785758058586
every,29,23,0.0017771785758058586
lost,28,22,0.0017158965559504842
sky,28,25,0.0017158965559504842
thou,27,15,0.0016546145360951097
friend,27,19,0.0016546145360951097
unto,27,24,0.0016546145360951097
air,27,25,0.0016546145360951097
light,27,23,0.0016546145360951097
old,26,21,0.0015933325162397352
men,26,24,0.0015933325162397352
came,26,18,0.0015933325162397352
long,26,20,0.0015933325162397352
thing,25,18,0.0015320504963843608
noon,25,23,0.0015320504963843608
fingers,24,22,0.0014707684765289863
hand,24,24,0.0014707684765289863
take,24,23,0.0014707684765289863
man,24,20,0.0014707684765289863
last,24,20,0.0014707684765289863
purple,23,21,0.001409486456673612
done,23,22,0.001409486456673612
flower,23,17,0.001409486456673612
rose,23,16,0.001409486456673612
heard,22,19,0.0013482044368182376
die,22,20,0.0013482044368182376
birds,22,21,0.0013482044368182376
dew,22,18,0.0013482044368182376
year,22,16,0.0013482044368182376
world,22,16,0.0013482044368182376
grass,22,18,0.0013482044368182376
seen,22,18,0.0013482044368182376
died,22,12,0.0013482044368182376
dead,22,18,0.0013482044368182376
oh,21,15,0.0012869224169628631
eye,21,19,0.0012869224169628631
stand,21,15,0.0012869224169628631
name,21,18,0.0012869224169628631
made,21,18,0.0012869224169628631
house,21,17,0.0012869224169628631
much,20,14,0.0012256403971074887
passed,20,18,0.0012256403971074887
sleep,20,15,0.0012256403971074887
two,20,17,0.0012256403971074887
make,20,18,0.0012256403971074887
though,20,18,0.0012256403971074887
place,20,18,0.0012256403971074887
angels,19,16,0.0011643583772521142
slow,19,17,0.0011643583772521142
back,19,18,0.0011643583772521142
knew,19,19,0.0011643583772521142
grave,19,13,0.0011643583772521142
since,19,16,0.0011643583772521142
except,19,14,0.0011643583772521142
home,19,16,0.0011643583772521142
find,19,16,0.0011643583772521142
said,19,18,0.0011643583772521142
land,18,17,0.0011030763573967397
gone,18,16,0.0011030763573967397
pain,18,14,0.0011030763573967397
low,18,16,0.0011030763573967397
mind,18,16,0.0011030763573967397
hills,18,16,0.0011030763573967397
left,18,14,0.0011030763573967397
rest,18,16,0.0011030763573967397
behind,18,17,0.0011030763573967397
play,18,17,0.0011030763573967397
going,18,10,0.0011030763573967397
fear,18,16,0.0011030763573967397
show,17,15,0.0010417943375413653
eternity,17,16,0.0010417943375413653
days,17,13,0.0010417943375413653
wind,17,16,0.0010417943375413653
keep,17,13,0.0010417943375413653
tree,17,15,0.0010417943375413653
hear,17,14,0.0010417943375413653
ear,16,16,0.000980512317685991
breath,16,15,0.000980512317685991
children,16,14,0.000980512317685991
late,16,12,0.000980512317685991
lest,16,15,0.000980512317685991
meet,16,16,0.000980512317685991
fly,16,14,0.000980512317685991
almost,16,16,0.000980512317685991
wonder,16,11,0.000980512317685991
enough,16,11,0.000980512317685991
white,16,13,0.000980512317685991
dropped,16,10,0.000980512317685991
small,16,13,0.000980512317685991
red,16,14,0.000980512317685991
bees,16,15,0.000980512317685991
pass,16,15,0.000980512317685991
drop,16,15,0.000980512317685991
best,16,14,0.000980512317685991
think,15,12,0.0009192302978306164
even,15,14,0.0009192302978306164
snow,15,15,0.0009192302978306164
read,15,10,0.0009192302978306164
past,15,8,0.0009192302978306164
spirit,15,12,0.0009192302978306164
father,15,14,0.0009192302978306164
thy,15,11,0.0009192302978306164
round,15,13,0.0009192302978306164
dear,15,10,0.0009192302978306164
woods,15,12,0.0009192302978306164
took,14,13,0.0008579482779752421
bliss,14,11,0.0008579482779752421
live,14,10,0.0008579482779752421
stone,14,13,0.0008579482779752421
skies,14,14,0.0008579482779752421
near,14,14,0.0008579482779752421
blue,14,12,0.0008579482779752421
let,14,13,0.0008579482779752421
prayer,14,12,0.0008579482779752421
full,14,12,0.0008579482779752421
abroad,14,11,0.0008579482779752421
earth,14,13,0.0008579482779752421
fair,14,14,0.0008579482779752421
goes,14,14,0.0008579482779752421
found,14,10,0.0008579482779752421
felt,14,12,0.0008579482779752421
need,13,10,0.0007966662581198676
star,13,12,0.0007966662581198676
side,13,11,0.0007966662581198676
bells,13,13,0.0007966662581198676
town,13,13,0.0007966662581198676
none,13,12,0.0007966662581198676
touch,13,12,0.0007966662581198676
care,13,12,0.0007966662581198676
letter,13,6,0.0007966662581198676
grace,13,12,0.0007966662581198676
simple,13,13,0.0007966662581198676
beyond,13,12,0.0007966662581198676
single,13,12,0.0007966662581198676
among,13,12,0.0007966662581198676
makes,13,12,0.0007966662581198676
softly,13,13,0.0007966662581198676
afternoon,13,12,0.0007966662581198676
winds,13,12,0.0007966662581198676
head,13,13,0.0007966662581198676
well,13,13,0.0007966662581198676
dare,13,10,0.0007966662581198676
ask,12,11,0.0007353842382644932
robin,12,8,0.0007353842382644932
